查询序号,主题词,卡片名,命中结果数,最高分,一级主题,对应主题页,主题页路径,置信度,匹配分,匹配依据,相近主题词,相近卡片,备选主题页,命中词,主要书名,页码,是否有结果,处理建议,Claude检索建议,是否新增主题
361,大众哲学 通俗化 社会影响,0361_大众哲学_通俗化_社会影响.md,3,50.14,新哲学大众化,艾思奇与大众哲学,新哲学大众化/艾思奇与大众哲学.md,高,123.0,已列入原主题页重点卡片；命中主题种子词：大众哲学、通俗化；主题词重合：大众哲学、通俗化,大众哲学 特点 社会影响(51.54)；大众哲学 哲学讲话 通俗化(43.93)；艾思奇 大众哲学 通俗著作(28.33)；大众哲学(27.5)；大众哲学 新哲学(26.25),0373_大众哲学_特点_社会影响.md；0396_大众哲学_哲学讲话_通俗化.md；0389_艾思奇_大众哲学_通俗著作.md；1849_大众哲学.md；1773_大众哲学_新哲学.md,,大众哲学、通俗化、社会影响,“新哲学”大众化运动研究；马克思主义哲学史（第六卷；百年中国哲学革命,9；265-267；159-161,是,可按主题页优先检索,先查主题页《艾思奇与大众哲学》，再在 T3/T10 中检索：大众哲学|通俗化|社会影响,否
362,艾思奇 思想方法论 世界观 方法论,0362_艾思奇_思想方法论_世界观_方法论.md,3,59.2,新哲学大众化,思想方法与世界观教育,新哲学大众化/思想方法与世界观教育.md,高,136.0,已列入原主题页重点卡片；命中主题种子词：思想方法论、思想方法、世界观、方法论；主题词重合：思想方法论、世界观、方法论,思想方法论 世界观 方法论(73.18)；世界观 方法论 思想方法(44.58)；本体论 思想方法论 根本问题(30.56)；论思想文化问题 艾思奇(19.41)；胡适 方法论 评议(18.33),0416_思想方法论_世界观_方法论.md；1544_世界观_方法论_思想方法.md；0417_本体论_思想方法论_根本问题.md；0432_论思想文化问题_艾思奇.md；0479_胡适_方法论_评议.md,,艾思奇、思想方法论、世界观、方法论,马克思主义哲学在中国传播与发展的百年历史（上）；百年中国哲学革命；艾思奇全书（第2卷）,244-246；248-250；118-120,是,可按主题页优先检索,先查主题页《思想方法与世界观教育》，再在 T3/T10 中检索：艾思奇|思想方法论|世界观|方法论,否
363,艾思奇 哲学与生活 社会生活,0363_艾思奇_哲学与生活_社会生活.md,3,41.8,新哲学大众化,艾思奇与大众哲学,新哲学大众化/艾思奇与大众哲学.md,高,109.0,已列入原主题页重点卡片；命中主题种子词：艾思奇；主题词重合：艾思奇,作家 创作 社会生活(25.36)；大众哲学 艾思奇(20.77)；哲学大众化 艾思奇(20.36)；艾思奇 大众哲学 贡献(20.0)；艾思奇 大众哲学 中国化(19.69),0962_作家_创作_社会生活.md；1769_大众哲学_艾思奇.md；1746_哲学大众化_艾思奇.md；0359_艾思奇_大众哲学_贡献.md；0370_艾思奇_大众哲学_中国化.md,,艾思奇、哲学与生活、社会生活,马克思主义哲学在中国传播与发展的百年历史（上）；马克思主义哲学在中国：传播、应用、形态、前景；“和生活打成一片”——艾思奇是怎样进行马克思主义哲学大众化的_李勰,250-254；457-459；2,是,可按主题页优先检索,先查主题页《艾思奇与大众哲学》，再在 T3/T10 中检索：艾思奇|哲学与生活|社会生活,否
364,胡绳 新哲学的人生观 青年生活,0364_胡绳_新哲学的人生观_青年生活.md,3,50.52,新哲学大众化,胡绳与马克思主义哲学通俗宣传,新哲学大众化/胡绳与马克思主义哲学通俗宣传.md,高,123.0,已列入原主题页重点卡片；命中主题种子词：胡绳、新哲学的人生观；主题词重合：胡绳、新哲学的人生观,新哲学的人生观(47.5)；胡绳 哲学大众化(13.12)；胡绳 哲学漫谈 追求真理(12.63)；马克思主义哲学 大众化 胡绳(12.38)；胡绳 马克思主义哲学 通俗宣传(12.27),2021_新哲学的人生观.md；1634_胡绳_哲学大众化.md；0457_胡绳_哲学漫谈_追求真理.md；1814_马克思主义哲学_大众化_胡绳.md；0456_胡绳_马克思主义哲学_通俗宣传.md,,胡绳、新哲学的人生观、青年生活,“新哲学”大众化运动研究；胡绳对马克思主义哲学“大众化”的贡献；抗战时期重庆马克思主义知识群体“学术中国化”研究特点与启示_于文善,176；2,是,可按主题页优先检索,先查主题页《胡绳与马克思主义哲学通俗宣传》，再在 T3/T10 中检索：胡绳|新哲学的人生观|青年生活,否
365,陈唯实 新哲学体系讲话 大众生活,0365_陈唯实_新哲学体系讲话_大众生活.md,3,41.13,新哲学大众化,新哲学大众化运动,新哲学大众化/新哲学大众化运动.md,高,128.0,已列入原主题页重点卡片；命中主题种子词：新哲学、大众生活；主题词重合：大众生活；主题域增强：新哲学、陈唯实,新哲学 大众生活 密切关系(26.94)；陈唯实 通俗唯物论讲话 哲学到大众去(20.43)；陈唯实 马克思主义哲学 通俗宣传(18.26)；陈唯实 通俗辩证法讲话 科学人生观(18.12)；大众哲学 新哲学(5.0),0366_新哲学_大众生活_密切关系.md；0295_陈唯实_通俗唯物论讲话_哲学到大众去.md；0294_陈唯实_马克思主义哲学_通俗宣传.md；0132_陈唯实_通俗辩证法讲话_科学人生观.md；1773_大众哲学_新哲学.md,,陈唯实、新哲学体系讲话、大众生活,马克思主义哲学在中国传播与发展的百年历史（上）；延安时期知识分子群体与马克思主义哲学大众化郭 - 2015 -；马克思主义哲学中国化理论与历史,282-284；91；5,是,可按主题页优先检索,先查主题页《新哲学大众化运动》，再在 T3/T10 中检索：陈唯实|新哲学体系讲话|大众生活,否
366,新哲学 大众生活 密切关系,0366_新哲学_大众生活_密切关系.md,3,53.1,新哲学大众化,新哲学大众化运动,新哲学大众化/新哲学大众化运动.md,高,130.0,已列入原主题页重点卡片；命中主题种子词：新哲学、大众生活；主题词重合：新哲学、大众生活；主题域增强：新哲学,陈唯实 新哲学体系讲话 大众生活(26.94)；哲学大众化 新哲学(23.33)；大众哲学 新哲学(21.25)；大众化 新哲学(21.25)；新哲学 人生观 生活实践(19.69),0365_陈唯实_新哲学体系讲话_大众生活.md；1706_哲学大众化_新哲学.md；1773_大众哲学_新哲学.md；1838_大众化_新哲学.md；0391_新哲学_人生观_生活实践.md,,新哲学、大众生活、密切关系,马克思主义哲学在中国传播与发展的百年历史（上）；“新哲学”大众化运动研究；马克思主义哲学在中国：传播、应用、形态、前景,282-284；157；462-464,是,可按主题页优先检索,先查主题页《新哲学大众化运动》，再在 T3/T10 中检索：新哲学|大众生活|密切关系,否
367,张岱年 新哲学 中国本来传统,0367_张岱年_新哲学_中国本来传统.md,3,35.82,新哲学大众化,新哲学大众化运动,新哲学大众化/新哲学大众化运动.md,低,18.0,自动主题组匹配：新哲学,大众哲学 新哲学(18.57)；大众化 新哲学(18.57)；哲学大众化 新哲学(18.33)；张申府 新哲学 思想(18.12)；新哲学 人生观 问题(18.12),1773_大众哲学_新哲学.md；1838_大众化_新哲学.md；1706_哲学大众化_新哲学.md；0369_张申府_新哲学_思想.md；0393_新哲学_人生观_问题.md,,张岱年、新哲学,20世纪30年代~40年代马克思主义哲学与中国传统哲学结合的形态_李维武；马克思主义哲学中国化与中国哲学的现代转型；百年中国哲学革命,1；370-371；214-215,是,先核验原卡片再使用,先查主题页《新哲学大众化运动》，再在 T3/T10 中检索：张岱年|新哲学|中国本来传统,否
368,五四运动 新哲学 社会主义新价值观,0368_五四运动_新哲学_社会主义新价值观.md,3,46.2,新哲学大众化,新哲学大众化运动,新哲学大众化/新哲学大众化运动.md,低,18.0,自动主题组匹配：新哲学,五四运动 社会主义新价值观 兴起(74.71)；社会主义新价值观 救亡 启蒙(49.72)；社会主义新价值观 确立 原因(49.72)；五四运动 社会主义思想 传播(27.89)；五四运动 新民主主义革命 开端(25.95),0134_五四运动_社会主义新价值观_兴起.md；0135_社会主义新价值观_救亡_启蒙.md；1236_社会主义新价值观_确立_原因.md；0123_五四运动_社会主义思想_传播.md；0504_五四运动_新民主主义革命_开端.md,,五四运动、新哲学、社会主义新价值观,马克思主义哲学中国化与中国哲学的现代转型；“新哲学”大众化运动研究；继承五四和扬弃五四,220-221；44；113,是,先核验原卡片再使用,先查主题页《新哲学大众化运动》，再在 T3/T10 中检索：五四运动|新哲学|社会主义新价值观,否
369,张申府 新哲学 思想,0369_张申府_新哲学_思想.md,3,47.8,新哲学大众化,新哲学大众化运动,新哲学大众化/新哲学大众化运动.md,高,118.0,已列入原主题页重点卡片；命中主题种子词：新哲学；主题词重合：新哲学；主题域增强：新哲学,张申府 新启蒙运动(21.82)；中国现代哲学 张申府(21.25)；张申府 新启蒙运动 民主(20.77)；大众哲学 新哲学(20.0)；大众化 新哲学(20.0),1742_张申府_新启蒙运动.md；1830_中国现代哲学_张申府.md；1614_张申府_新启蒙运动_民主.md；1773_大众哲学_新哲学.md；1838_大众化_新哲学.md,,张申府、新哲学、思想,“中国化”思潮与马克思主义中国化思想的互动研究——以20世纪20—40年代为考察范围_王朝庆；张申府与中国现代哲学；新启蒙运动与新民主主义文化思想的形成_卢毅,4；2；5,是,可按主题页优先检索,先查主题页《新哲学大众化运动》，再在 T3/T10 中检索：张申府|新哲学|思想,否
370,艾思奇 大众哲学 中国化,0370_艾思奇_大众哲学_中国化.md,3,53.54,新哲学大众化,艾思奇与大众哲学,新哲学大众化/艾思奇与大众哲学.md,高,123.0,已列入原主题页重点卡片；命中主题种子词：大众哲学、艾思奇；主题词重合：艾思奇、大众哲学,艾思奇 大众哲学 贡献(48.64)；艾思奇 大众哲学 哲学大众化(47.5)；大众哲学 艾思奇(47.5)；艾思奇 大众哲学 大众化形态(46.54)；艾思奇 大众哲学 通俗著作(46.54),0359_艾思奇_大众哲学_贡献.md；0371_艾思奇_大众哲学_哲学大众化.md；1769_大众哲学_艾思奇.md；0357_艾思奇_大众哲学_大众化形态.md；0389_艾思奇_大众哲学_通俗著作.md,,艾思奇、大众哲学、中国化,从唯物辩证法论战到马克思主义哲学大众化——对艾思奇《大众哲学》的解读_李维武；马克思主义哲学中国化理论与历史；抗战时期重庆马克思主义知识群体“学术中国化”研究特点与启示_于文善,11；331；2,是,可按主题页优先检索,先查主题页《艾思奇与大众哲学》，再在 T3/T10 中检索：艾思奇|大众哲学|中国化,否
371,艾思奇 大众哲学 哲学大众化,0371_艾思奇_大众哲学_哲学大众化.md,3,59.42,新哲学大众化,新哲学大众化运动,新哲学大众化/新哲学大众化运动.md,高,127.0,已列入原主题页重点卡片；命中主题种子词：大众化、哲学大众化；主题词重合：哲学大众化；主题域增强：大众哲学、大众化、艾思奇,哲学大众化 艾思奇(55.0)；马克思主义哲学 哲学大众化 大众哲学(55.0)；艾思奇 大众哲学 大众化形态(53.18)；马克思主义哲学 哲学大众化 艾思奇(51.67)；艾思奇 大众哲学 贡献(48.64),1746_哲学大众化_艾思奇.md；1791_马克思主义哲学_哲学大众化_大众哲学.md；0357_艾思奇_大众哲学_大众化形态.md；1798_马克思主义哲学_哲学大众化_艾思奇.md；0359_艾思奇_大众哲学_贡献.md,,艾思奇、大众哲学、哲学大众化,从唯物辩证法论战到马克思主义哲学大众化——对艾思奇《大众哲学》的解读_李维武；《大众哲学》_马克思主义哲学大众化的经典范本_张立波；“和生活打成一片”——艾思奇是怎样进行马克思主义哲学大众化的_李勰,1；8,是,可按主题页优先检索,先查主题页《新哲学大众化运动》，再在 T3/T10 中检索：艾思奇|大众哲学|哲学大众化,否
372,大众哲学 马克思主义哲学 传播贡献,0372_大众哲学_马克思主义哲学_传播贡献.md,3,47.82,新哲学大众化,艾思奇与大众哲学,新哲学大众化/艾思奇与大众哲学.md,高,114.0,已列入原主题页重点卡片；命中主题种子词：大众哲学；主题词重合：大众哲学,大众哲学 马克思主义哲学 大众化(70.0)；马克思主义哲学 哲学大众化 大众哲学(66.76)；马克思主义哲学 传播 苏联(48.33)；马克思主义哲学 传播范围 扩大(46.76)；旅欧青年 马克思主义哲学 传播(46.76),0360_大众哲学_马克思主义哲学_大众化.md；1791_马克思主义哲学_哲学大众化_大众哲学.md；0785_马克思主义哲学_传播_苏联.md；0046_马克思主义哲学_传播范围_扩大.md；0051_旅欧青年_马克思主义哲学_传播.md,,大众哲学、马克思主义哲学,《大众哲学》_马克思主义哲学大众化的经典范本_张立波；从唯物辩证法论战到马克思主义哲学大众化——对艾思奇《大众哲学》的解读_李维武；马克思主义哲学在中国：传播、应用、形态、前景,2；11；454-457,是,可按主题页优先检索,先查主题页《艾思奇与大众哲学》，再在 T3/T10 中检索：大众哲学|马克思主义哲学|传播贡献,否
373,大众哲学 特点 社会影响,0373_大众哲学_特点_社会影响.md,3,47.51,新哲学大众化,艾思奇与大众哲学,新哲学大众化/艾思奇与大众哲学.md,高,114.0,已列入原主题页重点卡片；命中主题种子词：大众哲学；主题词重合：大众哲学,大众哲学 通俗化 社会影响(51.54)；大众哲学(28.33)；大众哲学 新哲学(26.82)；大众哲学 艾思奇(26.25)；现象 本质 大众哲学(25.77),0361_大众哲学_通俗化_社会影响.md；1849_大众哲学.md；1773_大众哲学_新哲学.md；1769_大众哲学_艾思奇.md；0399_现象_本质_大众哲学.md,,大众哲学、特点、社会影响,延安时期知识分子群体与马克思主义哲学大众化郭 - 2015 -；“和生活打成一片”——艾思奇是怎样进行马克思主义哲学大众化的_李勰；马克思主义哲学史（第六卷,210；1；265-267,是,可按主题页优先检索,先查主题页《艾思奇与大众哲学》，再在 T3/T10 中检索：大众哲学|特点|社会影响,否
374,历史唯物论 社会发展史 艾思奇,0374_历史唯物论_社会发展史_艾思奇.md,3,53.24,新哲学大众化,艾思奇与大众哲学,新哲学大众化/艾思奇与大众哲学.md,高,109.0,已列入原主题页重点卡片；命中主题种子词：艾思奇；主题词重合：艾思奇,社会发展史 历史唯物论 学习(63.33)；社会发展史 历史唯物主义 宣传(35.29)；社会发展史 历史唯物主义 学习运动(34.21)；历史唯物论 辩证唯物论 米丁(30.88)；辩证唯物论 历史唯物论 传播体系(30.26),1036_社会发展史_历史唯物论_学习.md；1223_社会发展史_历史唯物主义_宣传.md；1342_社会发展史_历史唯物主义_学习运动.md；1809_历史唯物论_辩证唯物论_米丁.md；0057_辩证唯物论_历史唯物论_传播体系.md,,历史唯物论、社会发展史、艾思奇,马克思主义哲学在中国：传播、应用、形态、前景；《大众哲学》_马克思主义哲学大众化的经典范本_张立波；“新哲学”大众化运动研究,183-184；8；242,是,可按主题页优先检索,先查主题页《艾思奇与大众哲学》，再在 T3/T10 中检索：历史唯物论|社会发展史|艾思奇,否
375,艾思奇 辩证唯物主义 讲课提纲,0375_艾思奇_辩证唯物主义_讲课提纲.md,3,52.44,新哲学大众化,艾思奇与大众哲学,新哲学大众化/艾思奇与大众哲学.md,高,109.0,已列入原主题页重点卡片；命中主题种子词：艾思奇；主题词重合：艾思奇,历史唯物主义 辩证唯物主义(38.33)；唯心主义 辩证唯物主义(38.33)；辩证唯物主义 研讨 争论(37.81)；瞿秋白 辩证唯物主义 传播(37.35)；历史唯物主义 辩证唯物主义 列宁(37.35),1707_历史唯物主义_辩证唯物主义.md；1766_唯心主义_辩证唯物主义.md；0981_辩证唯物主义_研讨_争论.md；0335_瞿秋白_辩证唯物主义_传播.md；1800_历史唯物主义_辩证唯物主义_列宁.md,,艾思奇、辩证唯物主义、讲课提纲,马克思主义哲学史；一本教科书、一个时代、一种...学原理教科书的再思考(上)_何萍；马克思主义哲学在中国：传播、应用、形态、前景,28；13；477-478,是,可按主题页优先检索,先查主题页《艾思奇与大众哲学》，再在 T3/T10 中检索：艾思奇|辩证唯物主义|讲课提纲,否
376,国难 新启蒙运动,0376_国难_新启蒙运动.md,3,47.14,论战与思想运动,新启蒙运动,论战与思想运动/新启蒙运动.md,高,121.0,已列入原主题页重点卡片；命中主题种子词：新启蒙运动、新启蒙、启蒙运动；主题词重合：新启蒙运动,新启蒙运动 提出(37.5)；抗战 新启蒙运动(37.5)；新启蒙运动 普及(37.5)；新启蒙运动 理性运动(36.11)；新启蒙运动 哲学家(36.11),0377_新启蒙运动_提出.md；1871_抗战_新启蒙运动.md；1874_新启蒙运动_普及.md；0380_新启蒙运动_理性运动.md；0382_新启蒙运动_哲学家.md,,国难、新启蒙运动,新启蒙运动与新民主主义文化思想的形成_卢毅；从“决裂论”到“土壤论”——新启蒙运动对马克思主义与中国传统文化关系的认识深化_崔海亮；延安时期知识分子群体与马克思主义哲学大众化郭 - 2015 -,3；62,是,可按主题页优先检索,先查主题页《新启蒙运动》，再在 T3/T10 中检索：国难|新启蒙运动,否
377,新启蒙运动 提出,0377_新启蒙运动_提出.md,3,47.63,论战与思想运动,新启蒙运动,论战与思想运动/新启蒙运动.md,高,121.0,已列入原主题页重点卡片；命中主题种子词：新启蒙运动、新启蒙、启蒙运动；主题词重合：新启蒙运动,国难 新启蒙运动(37.5)；抗战 新启蒙运动(37.5)；新启蒙运动 普及(37.5)；新启蒙运动 理性运动(36.11)；新启蒙运动 哲学家(36.11),0376_国难_新启蒙运动.md；1871_抗战_新启蒙运动.md；1874_新启蒙运动_普及.md；0380_新启蒙运动_理性运动.md；0382_新启蒙运动_哲学家.md,,新启蒙运动、提出,新启蒙运动与新民主主义文化思想的形成_卢毅；抗日救亡运动中的文化新声——“新启蒙运动”与中国左翼知识界的文化抗战_王锐；从“决裂论”到“土壤论”——新启蒙运动对马克思主义与中国传统文化关系的认识深化_崔海亮,3；6；5,是,可按主题页优先检索,先查主题页《新启蒙运动》，再在 T3/T10 中检索：新启蒙运动|提出,否
378,新启蒙运动 爱国主义 文化思想,0378_新启蒙运动_爱国主义_文化思想.md,3,53.25,论战与思想运动,新启蒙运动,论战与思想运动/新启蒙运动.md,高,121.0,已列入原主题页重点卡片；命中主题种子词：新启蒙运动、新启蒙、启蒙运动；主题词重合：新启蒙运动,新启蒙运动 自由主义 文化思想(60.0)；新启蒙运动 新民主主义 文化思想(59.06)；文化运动 新启蒙运动(33.93)；新启蒙运动 文化抗战(33.33)；国难 新启蒙运动(32.14),0379_新启蒙运动_自由主义_文化思想.md；1801_新启蒙运动_新民主主义_文化思想.md；1744_文化运动_新启蒙运动.md；1616_新启蒙运动_文化抗战.md；0376_国难_新启蒙运动.md,,新启蒙运动、爱国主义、文化思想,继承五四和扬弃五四；马克思主义中国化的起源语境；近代中国启蒙运动史,92；66；230-234,是,可按主题页优先检索,先查主题页《新启蒙运动》，再在 T3/T10 中检索：新启蒙运动|爱国主义|文化思想,否
379,新启蒙运动 自由主义 文化思想,0379_新启蒙运动_自由主义_文化思想.md,3,53.04,论战与思想运动,新启蒙运动,论战与思想运动/新启蒙运动.md,高,121.0,已列入原主题页重点卡片；命中主题种子词：新启蒙运动、新启蒙、启蒙运动；主题词重合：新启蒙运动,新启蒙运动 爱国主义 文化思想(60.0)；新启蒙运动 新民主主义 文化思想(59.06)；文化运动 新启蒙运动(33.93)；新启蒙运动 思想自由 共同路向(33.33)；新启蒙运动 文化抗战(33.33),0378_新启蒙运动_爱国主义_文化思想.md；1801_新启蒙运动_新民主主义_文化思想.md；1744_文化运动_新启蒙运动.md；0428_新启蒙运动_思想自由_共同路向.md；1616_新启蒙运动_文化抗战.md,,新启蒙运动、自由主义、文化思想,继承五四和扬弃五四；从“决裂论”到“土壤论”——新启蒙运动对马克思主义与中国传统文化关系的认识深化_崔海亮；马克思主义中国化的起源语境,92；2；68,是,可按主题页优先检索,先查主题页《新启蒙运动》，再在 T3/T10 中检索：新启蒙运动|自由主义|文化思想,否
380,新启蒙运动 理性运动,0380_新启蒙运动_理性运动.md,3,50.26,论战与思想运动,新启蒙运动,论战与思想运动/新启蒙运动.md,高,121.0,已列入原主题页重点卡片；命中主题种子词：新启蒙运动、新启蒙、启蒙运动；主题词重合：新启蒙运动,国难 新启蒙运动(36.11)；新启蒙运动 提出(36.11)；抗战 新启蒙运动(36.11)；新启蒙运动 普及(36.11)；新启蒙运动 哲学家(35.0),0376_国难_新启蒙运动.md；0377_新启蒙运动_提出.md；1871_抗战_新启蒙运动.md；1874_新启蒙运动_普及.md；0382_新启蒙运动_哲学家.md,,新启蒙运动、理性运动,什么是新启蒙运动；继承五四和扬弃五四；马克思主义中国化的起源语境,123；29；58,是,可按主题页优先检索,先查主题页《新启蒙运动》，再在 T3/T10 中检索：新启蒙运动|理性运动,否
381,新启蒙运动 现代中国新文化,0381_新启蒙运动_现代中国新文化.md,3,54.37,论战与思想运动,新启蒙运动,论战与思想运动/新启蒙运动.md,高,121.0,已列入原主题页重点卡片；命中主题种子词：新启蒙运动、新启蒙、启蒙运动；主题词重合：新启蒙运动,文化运动 新启蒙运动(34.62)；新启蒙运动 文化抗战(33.93)；新启蒙运动 中国 自觉运动(33.33)；中国传统文化 新启蒙运动 认识深化(32.89)；国难 新启蒙运动(32.69),1744_文化运动_新启蒙运动.md；1616_新启蒙运动_文化抗战.md；0426_新启蒙运动_中国_自觉运动.md；1795_中国传统文化_新启蒙运动_认识深化.md；0376_国难_新启蒙运动.md,,新启蒙运动、现代中国新文化,新启蒙运动与新民主主义文化思想的形成_卢毅；从“决裂论”到“土壤论”——新启蒙运动对马克思主义与中国传统文化关系的认识深化_崔海亮；继承五四和扬弃五四,4；5；81,是,可按主题页优先检索,先查主题页《新启蒙运动》，再在 T3/T10 中检索：新启蒙运动|现代中国新文化,否
382,新启蒙运动 哲学家,0382_新启蒙运动_哲学家.md,3,48.71,论战与思想运动,新启蒙运动,论战与思想运动/新启蒙运动.md,高,121.0,已列入原主题页重点卡片；命中主题种子词：新启蒙运动、新启蒙、启蒙运动；主题词重合：新启蒙运动,新启蒙运动 经济学家(37.5)；国难 新启蒙运动(36.11)；新启蒙运动 提出(36.11)；抗战 新启蒙运动(36.11)；新启蒙运动 普及(36.11),0383_新启蒙运动_经济学家.md；0376_国难_新启蒙运动.md；0377_新启蒙运动_提出.md；1871_抗战_新启蒙运动.md；1874_新启蒙运动_普及.md,,新启蒙运动、哲学家,什么是新启蒙运动；马克思主义中国化的起源语境；延安时期知识分子群体与马克思主义哲学大众化郭 - 2015 -,4；49；138,是,可按主题页优先检索,先查主题页《新启蒙运动》，再在 T3/T10 中检索：新启蒙运动|哲学家,否
383,新启蒙运动 经济学家,0383_新启蒙运动_经济学家.md,3,31.95,论战与思想运动,新启蒙运动,论战与思想运动/新启蒙运动.md,高,121.0,已列入原主题页重点卡片；命中主题种子词：新启蒙运动、新启蒙、启蒙运动；主题词重合：新启蒙运动,新启蒙运动 哲学家(37.5)；国难 新启蒙运动(35.0)；新启蒙运动 提出(35.0)；抗战 新启蒙运动(35.0)；新启蒙运动 普及(35.0),0382_新启蒙运动_哲学家.md；0376_国难_新启蒙运动.md；0377_新启蒙运动_提出.md；1871_抗战_新启蒙运动.md；1874_新启蒙运动_普及.md,,新启蒙运动、经济学家,近代中国启蒙运动史；什么是新启蒙运动；新启蒙运动与新民主主义文化思想的形成_卢毅,259-263；114；3,是,可按主题页优先检索,先查主题页《新启蒙运动》，再在 T3/T10 中检索：新启蒙运动|经济学家,否
384,新启蒙运动 民族解放,0384_新启蒙运动_民族解放.md,3,50.37,论战与思想运动,新启蒙运动,论战与思想运动/新启蒙运动.md,高,121.0,已列入原主题页重点卡片；命中主题种子词：新启蒙运动、新启蒙、启蒙运动；主题词重合：新启蒙运动,新启蒙运动 民族传统(40.0)；张申府 新启蒙运动 民主(35.42)；国难 新启蒙运动(35.0)；新启蒙运动 提出(35.0)；抗战 新启蒙运动(35.0),1615_新启蒙运动_民族传统.md；1614_张申府_新启蒙运动_民主.md；0376_国难_新启蒙运动.md；0377_新启蒙运动_提出.md；1871_抗战_新启蒙运动.md,,新启蒙运动、民族解放,抗日救亡运动中的文化新声——“新启蒙运动”与中国左翼知识界的文化抗战_王锐；什么是新启蒙运动；新启蒙运动与新民主主义文化思想的形成_卢毅,7；114；3,是,可按主题页优先检索,先查主题页《新启蒙运动》，再在 T3/T10 中检索：新启蒙运动|民族解放,否
385,新启蒙运动 抗日救亡,0385_新启蒙运动_抗日救亡.md,3,53.05,论战与思想运动,新启蒙运动,论战与思想运动/新启蒙运动.md,高,121.0,已列入原主题页重点卡片；命中主题种子词：新启蒙运动、新启蒙、启蒙运动；主题词重合：新启蒙运动,新启蒙运动 抗日救亡 抗战(65.0)；国难 新启蒙运动(35.0)；新启蒙运动 提出(35.0)；抗战 新启蒙运动(35.0)；新启蒙运动 普及(35.0),1820_新启蒙运动_抗日救亡_抗战.md；0376_国难_新启蒙运动.md；0377_新启蒙运动_提出.md；1871_抗战_新启蒙运动.md；1874_新启蒙运动_普及.md,,新启蒙运动、抗日救亡,抗日救亡运动中的文化新声——“新启蒙运动”与中国左翼知识界的文化抗战_王锐；新启蒙运动与新民主主义文化思想的形成_卢毅；继承五四和扬弃五四,15；3；112,是,可按主题页优先检索,先查主题页《新启蒙运动》，再在 T3/T10 中检索：新启蒙运动|抗日救亡,否
386,新启蒙运动 反帝反封建,0386_新启蒙运动_反帝反封建.md,3,50.0,论战与思想运动,新启蒙运动,论战与思想运动/新启蒙运动.md,高,121.0,已列入原主题页重点卡片；命中主题种子词：新启蒙运动、新启蒙、启蒙运动；主题词重合：新启蒙运动,国难 新启蒙运动(34.09)；新启蒙运动 提出(34.09)；抗战 新启蒙运动(34.09)；新启蒙运动 普及(34.09)；新启蒙运动 理性运动(33.33),0376_国难_新启蒙运动.md；0377_新启蒙运动_提出.md；1871_抗战_新启蒙运动.md；1874_新启蒙运动_普及.md；0380_新启蒙运动_理性运动.md,,新启蒙运动、反帝反封建,从“决裂论”到“土壤论”——新启蒙运动对马克思主义与中国传统文化关系的认识深化_崔海亮；马克思主义中国化的起源语境；继承五四和扬弃五四,2；56；98,是,可按主题页优先检索,先查主题页《新启蒙运动》，再在 T3/T10 中检索：新启蒙运动|反帝反封建,否
387,形式论理学 中国 进展,0387_形式论理学_中国_进展.md,3,44.6,理论方法,哲学基本范畴与辩证法原理,理论方法/哲学基本范畴与辩证法原理.md,低,10.0,自动主题组匹配：形式,形式论理学 抽象 具体 对立(32.14)；形式逻辑 辩证逻辑 形式论理学(32.14)；形式论理学 同一律 白马非马(31.67)；概念 个物 柏拉图 形式论理学(31.67)；辩证法 形式论理学 对立统一(31.67),0405_形式论理学_抽象_具体_对立.md；0408_形式逻辑_辩证逻辑_形式论理学.md；0404_形式论理学_同一律_白马非马.md；0406_概念_个物_柏拉图_形式论理学.md；0409_辩证法_形式论理学_对立统一.md,,形式论理学、中国、进展,近五十年中国思想史；马克思主义中国化的历史进程；百年中国哲学革命,187-190；5-8；130-131,是,先核验原卡片再使用,先查主题页《哲学基本范畴与辩证法原理》，再在 T3/T10 中检索：形式论理学|中国|进展,否
388,艾思奇 马克思主义哲学 通俗化 中国化,0388_艾思奇_马克思主义哲学_通俗化_中国化.md,3,62.8,新哲学大众化,艾思奇与大众哲学,新哲学大众化/艾思奇与大众哲学.md,高,118.0,已列入原主题页重点卡片；命中主题种子词：艾思奇、通俗化；主题词重合：艾思奇、通俗化,艾思奇 马克思主义哲学 大众化 中国化(81.67)；艾思奇 马克思主义哲学 大众化(62.5)；马克思主义哲学 大众化 中国化(62.5)；李达 马克思主义哲学 中国化(61.11)；马克思主义哲学 中国化 历程(61.11),0395_艾思奇_马克思主义哲学_大众化_中国化.md；0358_艾思奇_马克思主义哲学_大众化.md；1200_马克思主义哲学_大众化_中国化.md；0301_李达_马克思主义哲学_中国化.md；1413_马克思主义哲学_中国化_历程.md,,艾思奇、马克思主义哲学、通俗化、中国化,马克思主义哲学的中国化及其历程；百年中国哲学革命；马克思主义哲学在中国：传播、应用、形态、前景,271；161-163；436-439,是,可按主题页优先检索,先查主题页《艾思奇与大众哲学》，再在 T3/T10 中检索：艾思奇|马克思主义哲学|通俗化|中国化,否
